Job Title,Salary Estimation,Job Description,Rating,Company,Location,Size,Founded Date,Type of Ownership,Industry,Sector,Revenue,Website
"Data Scientist, Omnia AI - New Grad 2022 - National",,"Our Purpose At Deloitte, we are driven to inspire and help our people, organization, communities, and country to thrive. Our Purpose is to build a better future by accelerating and expanding access to knowledge. Purpose defines who we are and gives us reason to exist as an organization. By living our Purpose, we will make an impact that matters. We combine our AI and machine learning expertise with our business and industry acumen to execute on business problems and build tangible enterprise solutions, come check us out. What will your typical day look like? You will be constantly engaging stakeholders (client or otherwise) to identify client problems and develop solutions. Through workshops, interviews, and research, you will identify gaps in current business and technology capabilities and work with a multi-functional team to define a future vision, the ‘Art of the Possible’. You will identify and grow uses cases into Proof of Concepts, define governance and operating models, and develop roadmaps to help a client execute on initiatives – all around applications of AI, Advanced Analytics, and Data. Finally, you will guide clients through these efforts, socializing results and effecting change management.",,Ouest,Toronto,1 to 50 Employees,-1,Unknown,Casual Restaurant,"Restaurants, Bars & Food Service",Less than $1 million (USD),http://www.ouestny.com/
Data Scientist,$70K - $101K (Glassdoor Est.),"Who we are:  Geotab ® is a global leader in IoT and connected transportation and certified “Great Place to Work™.” We are a company of diverse and talented individuals who work together to help businesses grow and succeed, and increase the safety and sustainability of our communities.  Geotab is advancing security, connecting commercial vehicles to the internet and providing web-based analytics to help customers better manage their fleets. Geotab’s open platform and Geotab Marketplace ®, offering hundreds of third-party solution options, allows both small and large businesses to automate operations by integrating vehicle data with their other data assets. Processing billions of data points a day, Geotab leverages data analytics and machine learning to improve productivity, optimize fleets through the reduction of fuel consumption, enhance driver safety and achieve strong compliance to regulatory changes.  Our team is growing and we’re looking for people who follow their passion, think differently and want to make an impact. Ours is a fast paced, ever changing environment. Geotabbers accept that challenge and are willing to take on new tasks and activities - ones that may not always be described in the initial job description. Join us for a fulfilling career with opportunities to innovate, great benefits, and our fun and inclusive work culture. Reach your full potential with Geotab. To see what it’s like to be a Geotabber, check out our blog and follow us @InsideGeotab on Instagram, Twitter or Facebook. Join our talent network to learn more about job opportunities and company news.",4.2,Geotab,Oakville,201 to 500 Employees,2000,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),http://www.geotab.com/
Data Scientist,$91K - $120K (Glassdoor Est.),"Requisition ID: 136817  Join a purpose driven winning team, committed to results, in an inclusive and high-performing culture.  Purpose of Job:  The DRE Senior Product Manager will contribute to the risk management, digital automation, and risk reward optimization of the Canadian Retail Bank by ensuring smooth upgrade and transition of existing risk management technology and digital deployment of customer centric lending policies. This will be achieved by driving continuous improvement of lending policy and technology integration. In addition, the incumbent will work closely with risk strategy and policy teams to support the transition of retail risk operating model from product first model to customer first model. The incumbent will ensure all activities conducted are in compliance with governing regulations, internal policies and procedures.",3.9,Scotiabank,Toronto,10000+ Employees,1832,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),http://www.scotiabank.com/
data scientist,$110K - $130K (Employer Est.),"Work Setting Consulting firm Specific Skills Collect and document user's requirements Conduct research and provide advice to other informatics professionals regarding the selection application and implementation of database management tools Research and document data requirements, data collection and administration policy, and data access rules Conduct research and provide advice to other information systems professionals regarding the collection, availability and suitability of data",4.4,Tiger Analytics Inc.,Toronto,501 to 1000 Employees,2011,Company - Private,Consulting,Business Service,$10 to $25 million (USD),http://www.tigeranalytics.com/
"Intern, Data Analytics",,"In a world of disruption and increasingly complex business challenges, our professionals bring truth into focus with the Kroll Lens. Our sharp analytical skills, paired with the latest technology, allow us to give our clients clarity—not just answers—in all areas of business. We embrace diverse backgrounds and global perspectives, and we cultivate diversity by respecting, including, and valuing one another. As part of One team, One Kroll, you’ll contribute to a supportive and collaborative work environment that empowers you to excel. Kroll is introducing a Data Analytics Internship Program within our Enterprise Data Group. We are currently seeking students to intern in Spring 2022 or Summer 2022. This program will involve building fintech products, digital transformation of Kroll services, process automation with machine learning, business intelligence, data governance, and more. You will be working with advanced engineering and data science teams and professionals from the world’s largest financial institutions, law enforcement, and government agencies.",3.8,Kroll,Toronto,1001 to 5000 Employees,2004,Subsidiary or Business Segment,Advertising & Marketing,Business Service,$100 to $500 million (USD),http://www.kroll.com/
Data Scientist,,"Company Description* Who is Purpose Unlimited: * Purpose Unlimited is an independent financial services company with an unrelenting focus on customer-centric innovation, delivered through technology-driven solutions. Led by entrepreneur Som Seif, the company is developing a diversified product platform aimed at addressing historically underserved segments of the market. Purpose Unlimited's businesses include Purpose Investments, Purpose Advisor Solutions, and Thinking Capital. Who is Thinking Capital: At Thinking Capital, we’re changing the landscape of financial technology! Simply put, our mission is to empower Canadian small businesses through innovative financial services. At the heart of our offering is our digital experience, which is powered by our proprietary software platform, our real-time connections to a multitude of data sources, and our advanced data science models. We are squarely in the corner of owners and entrepreneurs, providing for them, and at the right moment, the financial support they need to grow and thrive.",3.5,Thinking Capital,Toronto,201 to 500 Employees,2006,Company - Private,Lending,Finance,Unknown / Non-Applicable,http://www.thinkingcapital.ca/
Data Scientist,$56K - $119K (Employer Est.),"Company description EatSleepRIDE is a mobile app platform for motorcycle riders designed to make motorcycles smarter. We’re on a mission to make motorcycles safer and more connected. Our revolutionary crash detection technology is called CRASHLIGHT® and we’re leaders in creating world-class, embedded mobile software and HD mapping for the world’s motorcycle riders. The EatSleepRIDE app is available in 138 countries from Google Play and in the App Store. Learn more at https://eatsleepride.com Job description The job description: · Apply fundamental machine learning concepts to iterate and debug model related issues and develop new techniques and models to handle the requirements of each project",,EatSleepRide,Toronto,-1,-1,-1,-1,-1,-1,-1
Data Science Intern (1 year contract),,"Position Summary: The successful candidate will assist in leveraging customer, digital and transportation datasets to create insights for the development of a new loyalty program and support ongoing data science work at 407ETR. The Data Analyst will help bring actionable data driven solutions to life at 407ETR. The candidate for this entry-level position will have the expertise and knowledge to understand how to frame a business problem and deliver actionable insight. This position is part of a highly collaborative and energetic team in a start-up minded environment. Position Responsibility: Assemble and analyze data to understand customer behavior of existing 407 ETR data, external data sources and emerging sources to make recommendations on future state of loyalty program and bring awareness of usage behavior Generate dashboards and automate reports that empower teams across the organization to make data-driven decisions",3.8,407 ETR,Woodbridge,201 to 500 Employees,-1,Company - Private,Transportation Management,Transportation & Logistics,$100 to $500 million (USD),http://www.407etr.com/
Data Scientist Intern (4 months),,"Data Scientist Intern (4 months) SGS & Co is a global brand impact group delivering speed and quality through innovation and insights to drive impact for our world-class clients. We combine deep expertise in design, graphic services, production, technology, and process optimization with unmatched marketplace understanding, dynamic ideas, and client-first customer service. We bring the world’s best brands to life and set them up for success in the modern world. SGS & Co shifts brands to impact through the strength of our people. Our team of nearly 5,000 employees across 30+ countries works collaboratively to exceed client expectations today and anticipate how we’ll need to pivot together to win tomorrow. We take pride in our commitment to diversity, equity, and inclusion along with our ambition to lead the industry to a more sustainable future to drive positive impact for our clients, our people, and our planet.",,"Southern Graphics Systems, Canada Co.",Toronto,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1
Data Science,$70K - $101K (Glassdoor Est.),"Who we are:  Geotab ® is a global leader in IoT and connected transportation and certified “Great Place to Work™.” We are a company of diverse and talented individuals who work together to help businesses grow and succeed, and increase the safety and sustainability of our communities.  Geotab is advancing security, connecting commercial vehicles to the internet and providing web-based analytics to help customers better manage their fleets. Geotab’s open platform and Geotab Marketplace ®, offering hundreds of third-party solution options, allows both small and large businesses to automate operations by integrating vehicle data with their other data assets. Processing billions of data points a day, Geotab leverages data analytics and machine learning to improve productivity, optimize fleets through the reduction of fuel consumption, enhance driver safety and achieve strong compliance to regulatory changes.  Our team is growing and we’re looking for people who follow their passion, think differently and want to make an impact. Ours is a fast paced, ever changing environment. Geotabbers accept that challenge and are willing to take on new tasks and activities - ones that may not always be described in the initial job description. Join us for a fulfilling career with opportunities to innovate, great benefits, and our fun and inclusive work culture. Reach your full potential with Geotab. To see what it’s like to be a Geotabber, check out our blog and follow us @InsideGeotab on Instagram, Twitter or Facebook. Join our talent network to learn more about job opportunities and company news.",4.2,Geotab,Oakville,201 to 500 Employees,2000,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),http://www.geotab.com/
"Data Science Co-op, NA Integrated Analytics (2022 Summer – Toronto, 4 Months)",,"Data Science Co-op, NA Integrated Analytics (2022 Summer – Toronto, 4 Months) LOCATION: Toronto, ON ANTICIPATED START DATE: May 2022 NUMBER OF POSITIONS: 1 APPLICATION DEADLINE: January 22, 2022",4.2,Munich Re,Toronto,10000+ Employees,1880,Company - Public,Insurance Operator,Insurance,$10+ billion (USD),http://www.munichre.com/
Data Analyst,$51K - $88K (Glassdoor Est.),"Founded in 2017, Bolt Technologies (“Bolt”) is a leading Canadian technology-enabled logistics and last-mile delivery provider for businesses of all sizes – from small local e-commerce shops to large national retailers. Bolt provides a customer-centric and sustainable approach to fulfilment, including reliable warehousing, pick and pack, shipping, and last-mile delivery with facilities in Toronto, Vancouver, Montreal, and Ottawa. By operating as an extension of every customers’ team, Bolt delivers best-in-class services every step of the way, ensuring faster, more cost-effective, and complete customer deliveries. Bolt also strives to be carbon negative by 2023 and is building Canada’s largest electric vehicle fleet. For more information on why Canada’s largest box mattress companies, furniture businesses and e-commerce entrepreneurs trust Bolt as their fulfilment partner, visit gobolt.com.  We are currently looking for a Data Analyst to join our rapidly growing data science and digital analytics team at Bolt. We drive data availability and analytics, and empower both external and internal facing features and functionality. You will be responsible for empowering our business with impactful analysis and powerful reporting. You will often work closely with and provide support to our Technology team, while operating in an Agile environment. With a wide variety of partners, each day will be fast-paced, challenging, rewarding and meaningful. Primary duties and responsibilities  Develop accurate, insightful, and interactive reporting Manage KPIs to measure and control processes driving towards the “Perfect Order” Identify potential savings and efficiencies in processes Produce in-depth ad hoc reporting Provide general analytics support to the overall business Collaborate with diverse groups and stakeholders across the business   Strong analytical skills and the ability to explain technical concepts to a non-technical audience Comfort building reporting in Looker and developing in LookML A desire to tell stories through data Demonstrated success working within cross-functional teams   3+ years’ experience in a related field Demonstrated success in working within cross functional teams   University degree or certification in a related field is preferred  Why Us?  We are innovative, goal-oriented, and are always on the search for energetic and passionate people who are eager to learn and would like to have a rare opportunity to grow within one of Canada's fastest growing companies.  Our team at Bolt is full of talented and passionate individuals who enjoy working collaboratively within a competitive environment. Here at Bolt we will provide you support from the get-go to help you realize your potential. Each member of our team shares a mutual passion for their craft and are in constant pursuit of growing our customer base and growing with our customers. We embrace all kinds of challenges head-on.  Aside from an amazing company culture, we also offer competitive salaries and a comprehensive benefits package including health, dental, and vision plans for you and your family. We are also located in the heart of downtown.  Bolt is an equal opportunity employer that recognizes the value and importance of a diverse workforce. Bolt is committed to providing assistance during all phases of the employment cycle, including recruiting through to the end of the employment relationship. If you require accommodation because of injury, illness or disability during any portion of Bolt’s recruiting process, please let us know by contacting your recruiter point of contact, and we will do everything we can to accommodate you.",4.3,Bolt Logistics,Toronto,501 to 1000 Employees,2017,Company - Private,Logistics & Supply Chain,Transportation & Logistics,Unknown / Non-Applicable,http://www.gobolt.com/
Data Science Instructor,$45 - $75 Per Hour(Employer Est.),"Metro College of Technology is a career college in Toronto, Ontario. Since 1998 it has successfully been providing career-focused training programs to the public. The college trains its students with state of the art knowledge and skills to meet today’s dynamic job market demand. The programs at Metro College of Technology cover engineering & technology, information technology, business and management, and legal services. Data Science and Application is one of the most popular programs offered by the college. Currently we are looking for a new instructor to join our data science teaching team. As a data science instructor, you will perform the following key duties: Preparing teaching plans and teaching notes Notifying the technical support of the lab requirements for the courses taught Delivering instructions to students",4.5,Metro College,Toronto,1 to 50 Employees,-1,Company - Private,Colleges & Universities,Education,$1 to $5 million (USD),http://www.metroc.ca/
"Data Scientist, Advanced Analytics",,Facility Location- Toronto Work Location - Posting Locations - Toronto (GTA) Department - Commercial Growth Strategy & Execution Job Function - Administrative/Clerical/Office Support Employee Type - Regular Employee FT Salaried Shift/Hours – About Us,3.8,Coca-Cola Canada Bottling Limited,Toronto,5001 to 10000 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,http://www.cokecanada.com/
Data Scientist,,"EA Create is a collective of content production teams partnering with EA Studios game teams to provide outstanding visuals, audio and technology. Our teams comprise of artists, engineers, technicians, designers and development directors. Worldwide, we combine our teams to form a global group of extraordinary individuals fueled by imagination and a unified passion for creating amazing content and experiences. We are a diverse team, unified through collaboration, culture and craft.  The EA Create Tools and Technology Team is looking for accomplished people to help us fulfill our mission of providing creative tools and workflows that allow EA to lead the industry in content quality. Our group strives to build an ecosystem of modular components that are efficient, adjustable to trends and allow for quick iteration of any artistic idea into reality.  The Challenge Ahead: As a Data Scientist on our team, you will build solutions that leverage our extensive library of data for the mass production of assets to be included in our catalogue of AAA titles. You will build and train cutting-edge AI models to empower content creators spanning all aspects of asset creation including character and world building, animation, rigging, audio and scanning. You will report to a team Development Director.  As a Data Scientist you will Who you are Bonus if you have",4.1,Electronic Arts,Toronto,5001 to 10000 Employees,1982,Company - Public,Video Game,Media,$2 to $5 billion (USD),http://www.ea.com/
Data Scientist (14384) - Toronto (Remote),$77K - $135K (Glassdoor Est.),"Notice: Several false job solicitations are circulating via email and social media purporting to be official Getty Images communications. While our staff may initially contact you via social media if your experience is relevant to a posted role, we will never issue job offers or request personal financial information via social media. Further, all outreach will include the Getty Images’ employee email and phone contact. As a reminder, all career opportunities can be found here.  Covid-19 Company Statement: Getty Images does not require employees to be vaccinated against Covid-19, but vaccination or testing may be mandated by the relevant local laws with which Getty Images will comply. If this position involves contact with third parties, attendance on site for events, travel and/or work in our offices, those actions will be subject to any to relevant local laws, venue or customer requirements, or travel requirements regarding vaccines or testing (and exemptions thereto).",4.0,Getty Images,Toronto,1001 to 5000 Employees,1995,Company - Private,Photography,"Arts, Entertainment & Recreation",Unknown / Non-Applicable,http://www.gettyimages.com/
NITRO Data and AI specialist - Data Scientist,$91K - $95K (Glassdoor Est.),"At EY, you’ll have the chance to build a career as unique as you are, with the global scale, support, inclusive culture and technology to become the best version of you. And we’re counting on your unique voice and perspective to help EY become even better, too. Join us and build an exceptional experience for yourself, and a better working world for all.  EY is a global leader in assurance, tax, transaction and advisory services. Technology is at the heart of what we do and deliver at EY. Technology solutions are integrated in the client services we deliver and are key to our innovation as an organization. Fueled by strategic investment in technology and innovation, Client Technology seeks to drive growth opportunities and solve complex business problems for our clients through building a robust platform for business and powerful product engine that are vital to innovation at scale. As part of Client Technology, you’ll work with technologists and business experts, blending EY’s deep industry knowledge and innovative ideas with our platforms, capabilities, and technical expertise. As a catalyst for change and growth, you’ll be at the forefront of integrating emerging technologies from AI to Data Analytics into every corner of what we do at EY. That means more growth for you, exciting learning opportunities, career choices, and the chance to make a real impact.",3.8,EY,Toronto,Unknown,-1,Unknown,-1,-1,Unknown / Non-Applicable,-1
Data Scientist,,"Role: Data Scientist Type: FTE Department: PDD Description The DSD Data Curation and Integration Pod collaborates extensively across our Pharma R&D organization (e.g. with pRED, gRED, Dia, FMI, Flatiron) to make it easier to manage and share data to maximize its value for R&D insights and for our patients. This effort is creating a diverse set of data mart assets to enable new analysis opportunities to accelerate the generation of meaningful scientific insights to support more efficient clinical trials, faster filings, and large-scale analyses needed to realize Roche’s personalized healthcare vision. Individual contributor",4.2,Roche,Mississauga,10000+ Employees,1896,Company - Public,Biotech & Pharmaceutical,Biotech & Pharmaceutical,$10+ billion (USD),http://www.roche.com/
"Associate Educator, Data Scientist",$90K - $128K (Glassdoor Est.),"Associate Educator, Data Science BrainStation is currently seeking a full-time Associate Educator to be part of our dynamic team delivering lessons for our Data Science program. BrainStation Educators have the unique opportunity to teach, research, and work on real analysis problems, while simultaneously building the future of education. Responsibilities Contribute to BrainStation's Data Science Diploma program that will positively impact the lives and careers of hundreds of individuals across our campuses Deliver lectures and mentor the next wave of Data Science talent Facilitate in-class activities, group discussions, demos and provide constructive feedback for evaluating student work",4.1,BrainStation,Toronto,51 to 200 Employees,2012,Company - Private,Education Training Service,Education,Unknown / Non-Applicable,https://brainstation.io/
Data Scientist,$84K - $121K (Glassdoor Est.),"Headquartered in New York City, Dataiku was founded in Paris in 2013 and achieved unicorn status in 2019. Now, more than 900 employees work across the globe in our offices and remotely. Backed by a renowned set of investors and partners including CapitalG, Tiger Global, and ICONIQ Growth, we’ve set out to build the future of AI.  Dataiku’s promise to our customers is to provide them with the software and support needed to accelerate their data science and machine learning maturity. Dataiku’s Data Science team is responsible for delivering on that promise. Internally, we call the team the DataFab — ask us about it!  The role of a Data Scientist at Dataiku is quite unique; our Data Scientists not only code up solutions to real-world problems, but also participate in client-facing endeavors throughout the customer journey: supporting their discovery of the platform, helping integrate DSS with other tools and technologies, training users, and co-developing data science projects from design to deployment.  Just as the non-technical skills are important, so too are the technical. Our Data Scientists work in the DSS platform every day. Aside from the visual tools of DSS, our team uses mostly python, with occasional work in other languages (e.g., R, SQL, pyspark, JavaScript, etc.). An ideal candidate is comfortable learning complex new technologies and modeling techniques while being able to explain their work to other data scientists and clients.",4.9,Dataiku,Toronto,501 to 1000 Employees,2013,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),http://www.dataiku.com/
Data Scientist (NLP visualization expert),$36K - $60K (Employer Est.),Data Scientist (NLP visualization expert) - 2 months contract with the opportunity to extend based on job performance WHO YOU ARE · You are within three years of graduation from an undergraduate or Masters program from an Ontario college or university · Must reside in Ontario · You know fundamentals of Machine Leaning models and their application in Internet industry · You have strong familiarity with different NLP algorithms in Python · Strong knowledge of visualization techniques and creating dashboards specifically with Dash Plotly,,PubliVate Inc.,Toronto,-1,-1,-1,-1,-1,-1,-1
Principal Data Scientist,,"Principal Data Scientist  Must Have:  10+ years of experience with general purpose programming languages e.g., Python, C/C++, Java 10+ years of hands-on experience in machine learning 4+ years of experience leading multiple machine learning projects simultaneously Nice to Have:  Exposure to MLOps technologies such as Kubeflow Experience with production architecture of machine learning systems Our client is…  Responsibilities:",4.5,ISG Search Inc,Toronto,1 to 50 Employees,1990,Company - Private,IT Service,Information Technology,Unknown / Non-Applicable,http://www.isgsearch.ca/
Machine Learning Software Developer Summer Co-op,$105K - $110K (Glassdoor Est.),"Les candidats référés ne doivent pas postuler directement pour ce poste. Toutes les références de candidats doivent d’abord être soumises dans Workday par un collègue de Loblaw actuel. Emplacement: 1 Presidents Choice Circle, Brampton, Ontario, L6Y 5S5 La décision de rejoindre une entreprise est une décision importante. Nous avons des opportunités pour des personnes travaillantes, énergiques et fiables comme vous.  Temps plein Poste contractuel (Durée déterminée) Co-op",3.6,Loblaw Companies Limited,Brampton,10000+ Employees,-1,Company - Public,Vehicle Dealers,Retail,$10+ billion (USD),http://www.loblaw.com/
Deep Learning Research Intern - Audio AI,,"Company Description  The Bosch Research and Technology Center North America with offices in Sunnyvale, California, Pittsburgh, Pennsylvania and Cambridge, Massachusetts is part of the global Bosch Group (www.bosch.com), a company with over 70 billion euro revenue, 400,000 people worldwide, a very diverse product portfolio, and a history of over 125 years. The Research and Technology Center North America (RTC-NA) is committed to providing technologies and system solutions for various Bosch business fields primarily in the areas of Integrated Human Machine Intelligence, Robotics, Energy Technologies, Internet Technologies, Circuit Design, Semiconductors and Wireless, and MEMS Advanced Design. The focus of our global research on Integrated Human Machine Intelligence includes Big Data Visual Analytics, Explainable AI, Audio Analytics, NLP, Conversational AI, Cloud Robotics, Mixed Reality and Smart Wearables, etc. We develop intuitive, interactive, and intelligent solutions to enable inspiring UX for Bosch products and services in application areas such as autonomous driving, car infotainment and driver assistance systems (ADAS), Industry 4.0 and Internet of Things (IoT), security systems, smart home and building solutions, health care, and robotics.",4.1,Bosch Group,Mississauga,10000+ Employees,1886,Company - Private,Miscellaneous Manufacturing,Manufacturing,$10+ billion (USD),http://www.bosch.us/
"Data Engineering Co-op, NA Integrated Analytics (2022 Summer – Toronto, 4 Months)",,"Data Engineering Co-op, NA Integrated Analytics (2022 Summer – Toronto, 4 Months) LOCATION: Toronto, ON ANTICIPATED START DATE: May 2022 NUMBER OF POSITIONS: 2 APPLICATION DEADLINE: January 22, 2022",4.2,Munich Re,Toronto,10000+ Employees,1880,Company - Public,Insurance Operator,Insurance,$10+ billion (USD),http://www.munichre.com/
